"Timestamp","How many SQL servers does your company manage?","How many SQL Server databases does your company manage?","What's your total SQL Server database volume?","What's your biggest SQL Server database?","How many SQL Server DBAs does your company employ?","What versions of SQL are you using?","Which of these features are you using?","What do you use for backups?","How are you testing your SQL Server backups?","What SQL Server HA/DR tools/features do you use?","What's your biggest worry or pain for your SQL Server backups? (i.e. having enough space, getting done within backup window, having access in an emergency)"
"2018/01/30 7:39:59 AM MST","50-100","101-500","0-10TB","1TB-5TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Compression - Page or Row","“Roll Your Own” / Internally developed scripts;Vendor Supplied Software Tool (Idera SQL Safe, Red Get Backup, etc.)","Backup job verification","Log Shipping","Viability of backups: automatic backup testing is currently a upcoming development task"
"2018/01/30 7:40:24 AM MST","1-10","2001+","0-10TB","0-1TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2016","","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification","Failover Cluster Instance;Third party DR tool (Double Take, SIOS, etc.)","Volume - the prospect of having to restore several thousand backups within a short timeframe."
"2018/01/30 7:40:28 AM MST","50-100","501-2000","10TB-25TB","0-1TB","1","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014","","Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","Failover Cluster Instance;Availability Groups;Log Shipping",""
"2018/01/30 7:42:01 AM MST","25-50","101-500","0-10TB","1TB-5TB","6-10","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc)","No verification/testing","Availability Groups",""
"2018/01/30 7:45:31 AM MST","25-50","26-100","0-10TB","1TB-5TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","","Community Scripts (Ola Hallengren, Minion Backup, etc);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","No verification/testing","Availability Groups","Restore Time"
"2018/01/30 7:48:43 AM MST","100+","2001+","50TB+","5TB-10TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","Column Store Index;Compression - Page or Row;Transparent Data Encryption (TDE)","“Roll Your Own” / Internally developed scripts;Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups;Log Shipping","All three you listed actually"
"2018/01/30 7:52:22 AM MST","100+","2001+","50TB+","5TB-10TB","6-10","SQL 2016;SQL 2017","Column Store Index;Compression - Page or Row;In Memory OLTP;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc);“Roll Your Own” / Internally developed scripts","Restore to another system and run DBCC","Availability Groups","The time it takes to restore large database backups."
"2018/01/30 7:57:41 AM MST","10-25","26-100","10TB-25TB","1TB-5TB","1","SQL 2008 / SQL 2008 R2;SQL 2014;SQL 2017","Compression - Page or Row","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification;Restore to another system and run DBCC","Availability Groups;Log Shipping",""
"2018/01/30 8:00:00 AM MST","25-50","101-500","0-10TB","0-1TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014","Column Store Index;Compression - Page or Row;Filestream","Community Scripts (Ola Hallengren, Minion Backup, etc);“Roll Your Own” / Internally developed scripts","Backup job verification","Availability Groups",""
"2018/01/30 8:03:46 AM MST","1-10","26-100","0-10TB","0-1TB","1","SQL 2008 / SQL 2008 R2;SQL 2012","Change Data Capture","Maintenance Plans;“Roll Your Own” / Internally developed scripts","Backup job verification","",""
"2018/01/30 8:06:58 AM MST","10-25","2001+","0-10TB","0-1TB","1","SQL 2012;SQL 2014","","“Roll Your Own” / Internally developed scripts;Vendor Supplied Software Tool (Idera SQL Safe, Red Get Backup, etc.)","Backup job verification","",""
"2018/01/30 8:17:45 AM MST","1-10","26-100","0-10TB","1TB-5TB","1","SQL 2014","","Maintenance Plans;Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Restore to another system and run DBCC","Log Shipping",""
"2018/01/30 8:22:53 AM MST","1-10","101-500","0-10TB","0-1TB","1","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014","","Maintenance Plans;Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","Third party DR tool (Double Take, SIOS, etc.);Database Mirroring","I need to write scripts to give me concise reports of backup status."
"2018/01/30 8:29:04 AM MST","1-10","26-100","0-10TB","1TB-5TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Column Store Index;Compression - Page or Row","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification","Failover Cluster Instance;Availability Groups;Database Mirroring","I would like to do full tests of restores automatically but don't have the resources at the moment."
"2018/01/30 8:29:15 AM MST","25-50","2001+","50TB+","5TB-10TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","Change Data Capture;Compression - Page or Row;Filestream;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc)","Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups",""
"2018/01/30 8:34:02 AM MST","10-25","26-100","0-10TB","0-1TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Filestream","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification","","Access in an emergency/we have no dedicated SQL DBA(your survey did not allow me to skip the question or mark 0)"
"2018/01/30 8:34:26 AM MST","100+","501-2000","10TB-25TB","0-1TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","Change Data Capture;Compression - Page or Row;Transparent Data Encryption (TDE)","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc);Vendor Supplied Software Tool (Idera SQL Safe, Red Get Backup, etc.);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups;Log Shipping;Database Mirroring","Backups completing in backup window. Restore automation during an emergency."
"2018/01/30 8:40:06 AM MST","25-50","501-2000","0-10TB","0-1TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014","Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc)","Restore to another system and run DBCC","Failover Cluster Instance;Third party DR tool (Double Take, SIOS, etc.)","None"
"2018/01/30 9:21:46 AM MST","100+","501-2000","50TB+","Over 10TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","","Maintenance Plans;Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","Failover Cluster Instance;Availability Groups;Database Mirroring","Centralized reporting of job execution/completion.  testing of data quality.  EMC DDBoost agent vault added complexity"
"2018/01/30 9:35:02 AM MST","100+","2001+","50TB+","5TB-10TB","11+","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014","Compression - Page or Row;Filestream;In Memory OLTP;Transparent Data Encryption (TDE)","Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","Failover Cluster Instance;Availability Groups;Log Shipping",""
"2018/01/30 9:39:31 AM MST","10-25","101-500","0-10TB","0-1TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2016;SQL 2017","Column Store Index","Community Scripts (Ola Hallengren, Minion Backup, etc);Vendor Supplied Software Tool (Idera SQL Safe, Red Get Backup, etc.)","Backup job verification;Restore to another system and run DBCC","Log Shipping","Time for backups"
"2018/01/30 9:53:23 AM MST","100+","2001+","0-10TB","1TB-5TB","1","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014","Compression - Page or Row","Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","No verification/testing","Failover Cluster Instance;Availability Groups",""
"2018/01/30 10:18:20 AM MST","1-10","26-100","0-10TB","1TB-5TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2016","Change Data Capture;Compression - Page or Row;Transparent Data Encryption (TDE)","Maintenance Plans","Restore to another system and run DBCC","Database Mirroring",""
"2018/01/30 10:18:33 AM MST","100+","501-2000","10TB-25TB","1TB-5TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","Compression - Page or Row;Transparent Data Encryption (TDE)","Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Restore to another system and run DBCC","Availability Groups;Log Shipping","issues with the third party backup software that arent noticed"
"2018/01/30 10:21:31 AM MST","10-25","26-100","0-10TB","0-1TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","Column Store Index;Compression - Page or Row;In Memory OLTP","Community Scripts (Ola Hallengren, Minion Backup, etc);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","","Having enough space to retain enough backups"
"2018/01/30 10:37:49 AM MST","100+","2001+","50TB+","1TB-5TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Change Data Capture;Column Store Index;Compression - Page or Row;Filestream;In Memory OLTP","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups;Third party DR tool (Double Take, SIOS, etc.)","Getting done within backup window"
"2018/01/30 10:44:18 AM MST","25-50","26-100","10TB-25TB","1TB-5TB","2-5","SQL 2014;SQL 2016;SQL 2017","","“Roll Your Own” / Internally developed scripts","Restore to another system and run DBCC","Availability Groups;Log Shipping","space, lack of retention policy"
"2018/01/30 10:57:18 AM MST","50-100","101-500","10TB-25TB","1TB-5TB","1","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2016","Transparent Data Encryption (TDE)","Vendor Supplied Software Tool (Idera SQL Safe, Red Get Backup, etc.)","Restore to another system and run DBCC","Availability Groups","The backup tool being not working sometimes"
"2018/01/30 11:16:17 AM MST","10-25","26-100","0-10TB","0-1TB","1","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014","","Maintenance Plans;Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","No verification/testing","Availability Groups","Running out of space on the data domain. Could happen any day now."
"2018/01/30 11:19:13 AM MST","25-50","2001+","50TB+","5TB-10TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Column Store Index;Compression - Page or Row","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification","Failover Cluster Instance;Log Shipping",""
"2018/01/30 12:10:43 PM MST","50-100","501-2000","0-10TB","0-1TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification","","having enough space"
"2018/01/30 12:42:53 PM MST","25-50","101-500","0-10TB","0-1TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","","Community Scripts (Ola Hallengren, Minion Backup, etc)","No verification/testing","Failover Cluster Instance;Availability Groups","Keeping that dedicated disk space for backups when other groups want space and this SQL Server backups are a waste of space."
"2018/01/30 12:59:15 PM MST","100+","501-2000","10TB-25TB","1TB-5TB","1","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","","Community Scripts (Ola Hallengren, Minion Backup, etc);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups","Lack of automated testing, space"
"2018/01/30 1:32:01 PM MST","1-10","1-25","0-10TB","0-1TB","1","SQL 2014;SQL 2016;SQL 2017","Column Store Index;Compression - Page or Row;In Memory OLTP;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc)","No verification/testing","","Recovery time, since I can't afford to have a standby server."
"2018/01/30 1:36:57 PM MST","10-25","26-100","0-10TB","0-1TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification;Restore to another system and run DBCC","",""
"2018/01/30 1:56:33 PM MST","100+","2001+","50TB+","1TB-5TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Change Data Capture;Compression - Page or Row;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification;Restore to another system and run DBCC","Availability Groups","Users breaking the chain "
"2018/01/30 1:56:33 PM MST","100+","501-2000","50TB+","Over 10TB","2-5","SQL 2012;SQL 2014;SQL 2016","Column Store Index;Compression - Page or Row;In Memory OLTP","Community Scripts (Ola Hallengren, Minion Backup, etc)","Restore to another system and run DBCC","Availability Groups;Log Shipping","Secured storage for long term retention."
"2018/01/30 2:01:54 PM MST","100+","2001+","50TB+","Over 10TB","11+","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Compression - Page or Row;Filestream;In Memory OLTP;Transparent Data Encryption (TDE)","“Roll Your Own” / Internally developed scripts;Vendor Supplied Software Tool (Idera SQL Safe, Red Get Backup, etc.);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","Failover Cluster Instance;Availability Groups;Log Shipping;Third party DR tool (Double Take, SIOS, etc.)","Having access to the backups when we need them."
"2018/01/30 2:02:00 PM MST","50-100","2001+","0-10TB","0-1TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Filestream","Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","Failover Cluster Instance","Having access to backups in a DR situation and be able to recover to new hardware."
"2018/01/30 2:13:35 PM MST","25-50","101-500","25TB-50TB","5TB-10TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2014;SQL 2016","Change Data Capture;Compression - Page or Row","“Roll Your Own” / Internally developed scripts","Backup job verification","Failover Cluster Instance;Availability Groups;Log Shipping","space for restore testing"
"2018/01/30 2:18:08 PM MST","100+","101-500","10TB-25TB","5TB-10TB","11+","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Change Data Capture;Column Store Index;Compression - Page or Row;Filestream;Transparent Data Encryption (TDE)","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc);Vendor Supplied Software Tool (Idera SQL Safe, Red Get Backup, etc.);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","No verification/testing;Backup job verification","Failover Cluster Instance;Availability Groups;Log Shipping;Database Mirroring",""
"2018/01/30 2:29:24 PM MST","1-10","1-25","25TB-50TB","Over 10TB","2-5","SQL 2012;SQL 2016","","Maintenance Plans;Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","Log Shipping","Heightened load"
"2018/01/30 3:32:18 PM MST","10-25","26-100","0-10TB","0-1TB","2-5","SQL 2012;SQL 2016","","Community Scripts (Ola Hallengren, Minion Backup, etc)","Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups;Log Shipping","Disk space (data centre are very reluctant to provide more when requested)"
"2018/01/30 4:06:08 PM MST","1-10","26-100","0-10TB","0-1TB","1","SQL 2012;SQL 2016;SQL 2017","","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","","Having enough space. "
"2018/01/30 4:14:20 PM MST","25-50","101-500","10TB-25TB","0-1TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Filestream","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","No verification/testing","Availability Groups","Consistency in configuration across systems"
"2018/01/30 4:20:20 PM MST","1-10","26-100","0-10TB","0-1TB","1","SQL 2008 / SQL 2008 R2","","“Roll Your Own” / Internally developed scripts","Backup job verification","","Failed notifications to failed backups"
"2018/01/30 4:29:25 PM MST","1-10","1-25","0-10TB","0-1TB","1","SQL 2017","","Vendor Supplied Software Tool (Idera SQL Safe, Red Get Backup, etc.)","Backup job verification","","We're using Azure SQL. Concern is getting hacked"
"2018/01/30 4:51:28 PM MST","50-100","501-2000","10TB-25TB","1TB-5TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014","Compression - Page or Row","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc);“Roll Your Own” / Internally developed scripts","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance","Storage space "
"2018/01/30 5:29:56 PM MST","100+","101-500","50TB+","1TB-5TB","11+","SQL 2014;SQL 2016","Change Data Capture;Compression - Page or Row","Community Scripts (Ola Hallengren, Minion Backup, etc);“Roll Your Own” / Internally developed scripts","Restore to another system and run DBCC","Availability Groups","That the random restore testing won't be enough"
"2018/01/30 6:04:06 PM MST","100+","2001+","50TB+","5TB-10TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","Change Data Capture;Compression - Page or Row;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc);Vendor Supplied Software Tool (Idera SQL Safe, Red Get Backup, etc.)","Backup job verification","Failover Cluster Instance;Database Mirroring","Time to sweep off server and reach off-site DR location."
"2018/01/30 6:16:37 PM MST","100+","101-500","25TB-50TB","1TB-5TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Column Store Index;Compression - Page or Row","Vendor Supplied Software Tool (Idera SQL Safe, Red Get Backup, etc.);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification;Restore to another system and run DBCC","Availability Groups;Log Shipping;Database Mirroring","Time to back up and restore "
"2018/01/30 6:23:32 PM MST","1-10","101-500","50TB+","1TB-5TB","1","SQL 2012;SQL 2016","Column Store Index;Compression - Page or Row","Community Scripts (Ola Hallengren, Minion Backup, etc);“Roll Your Own” / Internally developed scripts","Restore to another system and run DBCC","Failover Cluster Instance",""
"2018/01/30 6:37:42 PM MST","100+","2001+","50TB+","5TB-10TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","Column Store Index;Compression - Page or Row;Filestream;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance;Availability Groups;Log Shipping;Database Mirroring","Space Issues"
"2018/01/30 6:46:51 PM MST","25-50","501-2000","0-10TB","5TB-10TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","Change Data Capture;Compression - Page or Row","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification","Failover Cluster Instance;Availability Groups","Getting maintenance done in the allotted time. "
"2018/01/30 7:32:20 PM MST","50-100","101-500","10TB-25TB","0-1TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014","Change Data Capture","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc)","No verification/testing","Failover Cluster Instance","Duration"
"2018/01/30 7:32:48 PM MST","50-100","501-2000","10TB-25TB","0-1TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","","Community Scripts (Ola Hallengren, Minion Backup, etc);“Roll Your Own” / Internally developed scripts;Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","Log Shipping","Storage space"
"2018/01/30 7:36:06 PM MST","25-50","101-500","0-10TB","0-1TB","2-5","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016","Compression - Page or Row","“Roll Your Own” / Internally developed scripts","Backup job verification;Restore to another system and run DBCC","Log Shipping","Space"
"2018/01/30 7:43:19 PM MST","50-100","101-500","10TB-25TB","1TB-5TB","2-5","SQL 2012;SQL 2014;SQL 2016;SQL 2017","Column Store Index;Compression - Page or Row","“Roll Your Own” / Internally developed scripts","Restore to another system and run DBCC","Database Mirroring","Space for multiple backups"
"2018/01/30 7:45:16 PM MST","1-10","26-100","10TB-25TB","1TB-5TB","1","SQL 2014","Column Store Index;Compression - Page or Row","Community Scripts (Ola Hallengren, Minion Backup, etc)","Restore to another system and run DBCC","Availability Groups","Having enough space"
"2018/01/30 8:02:55 PM MST","25-50","101-500","10TB-25TB","1TB-5TB","1","SQL 2012;SQL 2016","Change Data Capture;Filestream","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification;Restore to another system and run DBCC","Availability Groups","Managing disk space"
"2018/01/30 8:33:21 PM MST","10-25","26-100","0-10TB","1TB-5TB","1","SQL 2012;SQL 2014;SQL 2017","Compression - Page or Row;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc)","Restore to another system and run DBCC","Availability Groups","Time to complete"
"2018/01/30 8:43:23 PM MST","1-10","1-25","0-10TB","0-1TB","1","SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2016","Compression - Page or Row","Maintenance Plans;Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification;Restore to another system and run DBCC","",""
"2018/01/30 8:54:39 PM MST","100+","2001+","50TB+","5TB-10TB","2-5","SQL 2000 / SQL 2005;SQL 2008 / SQL 2008 R2;SQL 2012;SQL 2014;SQL 2016;SQL 2017","Column Store Index;Compression - Page or Row;In Memory OLTP","Community Scripts (Ola Hallengren, Minion Backup, etc);“Roll Your Own” / Internally developed scripts;Vendor Supplied Software Tool (Idera SQL Safe, Red Get Backup, etc.);Enterprise Backup Platform (Commvault, Veritas, Veeam, etc.)","Backup job verification","Failover Cluster Instance;Log Shipping;Database Mirroring","Security/ encryption of backups / in safe, secure ransomware-proof location. "
"2018/01/30 9:01:13 PM MST","10-25","26-100","0-10TB","0-1TB","1","SQL 2014;SQL 2016;SQL 2017","Column Store Index;Transparent Data Encryption (TDE)","Community Scripts (Ola Hallengren, Minion Backup, etc)","Backup job verification;Restore to another system and run DBCC","Availability Groups","Space"
"2018/01/30 10:10:29 PM MST","1-10","26-100","25TB-50TB","5TB-10TB","2-5","SQL 2012","Compression - Page or Row","Maintenance Plans;“Roll Your Own” / Internally developed scripts","Restore to another system and run DBCC","",""
"2018/01/30 10:12:12 PM MST","1-10","101-500","10TB-25TB","1TB-5TB","1","SQL 2014;SQL 2016","Column Store Index;Compression - Page or Row","Community Scripts (Ola Hallengren, Minion Backup, etc)","No verification/testing","Failover Cluster Instance;Third party DR tool (Double Take, SIOS, etc.)",""
"2018/01/30 10:50:33 PM MST","1-10","1-25","0-10TB","0-1TB","2-5","SQL 2012;SQL 2014;SQL 2016","","Community Scripts (Ola Hallengren, Minion Backup, etc);Vendor Supplied Software Tool (Idera SQL Safe, Red Get Backup, etc.)","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance",""
"2018/01/30 10:50:38 PM MST","1-10","1-25","0-10TB","0-1TB","2-5","SQL 2012;SQL 2014;SQL 2016","","Community Scripts (Ola Hallengren, Minion Backup, etc);Vendor Supplied Software Tool (Idera SQL Safe, Red Get Backup, etc.)","Backup job verification;Restore to another system and run DBCC","Failover Cluster Instance",""
